,dates,DocumentIdentifier
3427,2019-02-18 17:15:00,http://energy.einnews.com/pr_news/476766464/china-lithium-battery-cathode-material-industry-report-2019-2023
3428,2019-02-18 19:45:00,https://www.pressofatlanticcity.com/business/technology/research-report-on-china-s-lithium-battery-cathode-material-industry/article_1a0da6f9-65e1-5392-b186-d03369d8de5e.html
3429,2019-02-18 20:15:00,https://www.prnewswire.com:443/news-releases/china-lithium-battery-cathode-material-markets-2019-2023-development-environment-supply--demand-competition-development-of-lfp-lco-lmo-ncm-and-nca-market-dynamics--future-prospects-300797354.html
3430,2019-02-18 20:30:00,https://www.finanzen.at/nachrichten/aktien/china-lithium-battery-cathode-material-markets-2019-2023-development-environment-supply-&-demand-competition-development-of-lfp-lco-lmo-ncm-and-nca-market-dynamics-&-future-prospects-1027961322
3470,2019-03-09 19:15:00,https://www.dailypolitical.com/2019/03/09/rehmann-capital-advisory-group-has-88000-position-in-global-x-lithium-battery-tech-etf-lit.html
3499,2019-03-25 15:00:00,https://www.news-journal.com/news/local/swepco-detects-lithium-in-wells-near-coal-ash-storage-sites/article_95c91824-475f-11e9-8a22-7393eee7e1c1.html
3502,2019-03-25 19:45:00,https://www.energy-storage.news/blogs/after-lithium-more-lithium-inside-24ms-semi-solid-battery-play
3524,2019-04-09 10:45:00,http://sea-globe.com/indonesia-preps-for-lithium-battery-production-with-low-grade-nickel-plant/
3532,2019-04-12 12:45:00,https://www.wkrb13.com/2019/04/12/raymond-james-associates-sells-11930-shares-of-global-x-lithium-battery-tech-etf-lit.html
3538,2019-04-15 12:15:00,https://energy.einnews.com/pr_news/482134914/global-lithium-battery-market-study-2017-2019-2023-dominated-by-saft-a123-systems-basf-battery-materials-sony-energy-devices-corp-toshiba-and
3566,2019-04-27 10:00:00,https://www.wkrb13.com/2019/04/27/ellis-investment-partners-llc-acquires-new-holdings-in-global-x-lithium-battery-tech-etf-lit.html
3571,2019-04-30 17:00:00,https://www.marketwatch.com/press-release/additional-lithium-mines-still-needed-to-satisfy-rising-battery-storage-ev-demand-2019-04-30-121972138
3613,2019-05-21 17:15:00,https://www.solarpowerworldonline.com/2019/05/duke-energy-finally-gets-approval-on-2-mw-solar-4-mw-lithium-battery-microgrid-in-north-carolina/
3625,2019-06-04 08:45:00,http://www.spacedaily.com/reports/High_flex_high_energy_textile_lithium_battery_aims_to_meet_demand_for_wearable_electronics_999.html
3631,2019-06-07 21:30:00,https://www.nrel.gov/news/program/2019/nrel-hosting-the12th-annual-beyond-lithium-ion-symposium-focused-on-transformational-advances-in-energy-storage-technologies.html
3643,2019-06-19 22:15:00,https://www.renewableenergyworld.com/articles/2019/06/eos-supplying-non-lithium-batteries-for-duke-ucsd-storage-projects.html
